posicao_risco,id_municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,risco_previsto,meta_alfabetizacao_2024,gap_meta_2024,gap_meta_2026,risco_de_perder_meta_2024,situacao_historico,em_treino
5166,5209937,GO,Centro-Oeste,69,0.8362938,0.8695652173913043,0.16370618,76.77,6.8593792724609415,5.739379272460937,False,completo,True
5167,5222054,GO,Centro-Oeste,95,0.8363013,0.8421052631578947,0.16369867,78.5,5.130134582519531,4.620134582519526,False,completo,True
5168,3167301,MG,Sudeste,22,0.83640933,0.8636363636363636,0.16359067,80.0,3.64093017578125,3.64093017578125,False,completo,True
5169,3166956,MG,Sudeste,26,0.83646894,0.9615384615384616,0.16353106,80.0,3.6468963623046875,3.6468963623046875,False,completo,True
5170,4122305,PR,Sul,371,0.8364765,0.8867924528301887,0.1635235,80.0,3.6476516723632812,3.6476516723632812,False,completo,True
5171,2300754,CE,Nordeste,669,0.8364978,0.8251121076233184,0.16350222,80.0,3.6497802734375,3.6497802734375,False,completo,True
5172,3160108,MG,Sudeste,52,0.8366977,0.9423076923076923,0.1633023,80.0,3.669769287109375,3.669769287109375,False,completo,True
5173,3552601,SP,Sudeste,85,0.8367254,0.9882352941176471,0.16327459,80.0,3.6725387573242188,3.6725387573242188,False,parcial,True
5174,3112000,MG,Sudeste,93,0.83672917,0.9032258064516129,0.16327083,80.0,3.6729202270507812,3.6729202270507812,False,completo,True
5175,3151909,MG,Sudeste,86,0.8369627,0.8837209302325582,0.1630373,,,3.6962738037109375,False,completo,True
5176,3122801,MG,Sudeste,20,0.83705443,0.85,0.16294557,80.0,3.7054443359375,3.7054443359375,False,completo,True
5177,4119004,PR,Sul,61,0.8370558,0.8852459016393442,0.1629442,80.0,3.7055816650390625,3.7055816650390625,False,completo,False
5178,2509602,PB,Nordeste,45,0.83742225,0.9333333333333333,0.16257775,80.0,3.7422256469726562,3.7422256469726562,False,completo,True
5179,3169059,MG,Sudeste,16,0.8377438,0.9375,0.16225618,78.63,5.1443835449218795,4.674383544921881,False,completo,True
5180,2200301,PI,Nordeste,84,0.83837044,0.8214285714285714,0.16162956,80.0,3.8370437622070312,3.8370437622070312,False,completo,False
5181,2312403,CE,Nordeste,999,0.8385254,0.8568568568568569,0.16147459,80.0,3.8525390625,3.8525390625,False,completo,True
5182,5205703,GO,Centro-Oeste,14,0.8386412,1.0,0.16135877,77.79,6.074120483398431,5.324120483398431,False,completo,True
5183,4118709,PR,Sul,83,0.83874625,0.8433734939759037,0.16125375,80.0,3.8746261596679688,3.8746261596679688,False,completo,False
5184,4122008,PR,Sul,188,0.83878213,0.8936170212765957,0.16121787,80.0,3.8782119750976562,3.8782119750976562,False,completo,True
5185,4207858,SC,Sul,25,0.839366,0.88,0.16063398,80.0,3.9365997314453125,3.9365997314453125,False,completo,False
5186,3202009,ES,Sudeste,103,0.83967143,0.8155339805825242,0.16032857,80.0,3.9671401977539062,3.9671401977539062,False,completo,True
5187,2517407,PB,Nordeste,24,0.8399002,0.6666666666666666,0.1600998,80.0,3.990020751953125,3.990020751953125,False,completo,True
5188,5207352,GO,Centro-Oeste,44,0.8404127,0.9090909090909091,0.15958732,77.15,6.891267395019526,5.911267395019536,False,completo,True
