id_municipio,uf,regiao,cluster,segmento
2106003,MA,Nordeste,1,3
2106102,MA,Nordeste,1,3
2106201,MA,Nordeste,1,3
2106300,MA,Nordeste,1,3
2106326,MA,Nordeste,1,3
2106359,MA,Nordeste,1,2
2106375,MA,Nordeste,1,2
2106409,MA,Nordeste,1,3
2106508,MA,Nordeste,1,3
2106607,MA,Nordeste,1,3
2106631,MA,Nordeste,1,3
2106672,MA,Nordeste,1,3
2106706,MA,Nordeste,1,2
2106755,MA,Nordeste,1,3
2106805,MA,Nordeste,1,3
2106904,MA,Nordeste,1,2
2107001,MA,Nordeste,1,3
2107100,MA,Nordeste,1,3
2107209,MA,Nordeste,1,2
2107258,MA,Nordeste,1,3
2107308,MA,Nordeste,1,3
2107357,MA,Nordeste,1,3
2107407,MA,Nordeste,1,3
2107456,MA,Nordeste,1,3
2107506,MA,Nordeste,0,1
2107605,MA,Nordeste,1,3
2107704,MA,Nordeste,1,3
2107803,MA,Nordeste,1,2
2107902,MA,Nordeste,1,3
2108009,MA,Nordeste,1,3
2108058,MA,Nordeste,1,3
2108108,MA,Nordeste,1,3
2108207,MA,Nordeste,0,1
2108256,MA,Nordeste,1,2
2108306,MA,Nordeste,1,3
2108405,MA,Nordeste,1,3
2108454,MA,Nordeste,1,3
2108504,MA,Nordeste,1,3
2108603,MA,Nordeste,1,3
2108702,MA,Nordeste,1,3
2108801,MA,Nordeste,1,2
2108900,MA,Nordeste,1,3
2109007,MA,Nordeste,0,1
2109056,MA,Nordeste,1,3
2109106,MA,Nordeste,1,3
2109205,MA,Nordeste,1,2
2109239,MA,Nordeste,1,3
2109270,MA,Nordeste,1,2
2109304,MA,Nordeste,1,2
2109403,MA,Nordeste,1,2
2109452,MA,Nordeste,1,3
2109502,MA,Nordeste,1,3
2109551,MA,Nordeste,1,3
2109601,MA,Nordeste,1,3
2109700,MA,Nordeste,1,3
2109759,MA,Nordeste,1,3
2109809,MA,Nordeste,1,2
2109908,MA,Nordeste,0,1
2110005,MA,Nordeste,1,2
2110039,MA,Nordeste,1,3
2110104,MA,Nordeste,1,3
2110203,MA,Nordeste,1,3
2110237,MA,Nordeste,1,2
2110278,MA,Nordeste,1,2
2110302,MA,Nordeste,1,3
2110401,MA,Nordeste,1,2
2110500,MA,Nordeste,1,3
2110609,MA,Nordeste,1,3
2110658,MA,Nordeste,1,3
2110708,MA,Nordeste,1,3
2110807,MA,Nordeste,1,3
2110856,MA,Nordeste,1,3
2110906,MA,Nordeste,1,3
2111003,MA,Nordeste,1,2
2111029,MA,Nordeste,1,3
2111052,MA,Nordeste,1,3
2111078,MA,Nordeste,1,2
2111102,MA,Nordeste,1,3
2111201,MA,Nordeste,0,1
2111250,MA,Nordeste,1,3
2111300,MA,Nordeste,0,1
2111409,MA,Nordeste,1,2
2111508,MA,Nordeste,1,2
2111532,MA,Nordeste,1,3
2111573,MA,Nordeste,1,3
2111607,MA,Nordeste,1,3
2111631,MA,Nordeste,1,3
2111672,MA,Nordeste,1,2
2111706,MA,Nordeste,1,2
2111722,MA,Nordeste,1,2
2111748,MA,Nordeste,1,2
2111763,MA,Nordeste,1,3
2111789,MA,Nordeste,1,2
2111805,MA,Nordeste,1,3
2111904,MA,Nordeste,1,3
2111953,MA,Nordeste,1,3
2112001,MA,Nordeste,1,3
2112100,MA,Nordeste,1,2
2112209,MA,Nordeste,0,1
2112233,MA,Nordeste,1,3
2112274,MA,Nordeste,1,3
2112308,MA,Nordeste,1,3
2112407,MA,Nordeste,1,2
2112456,MA,Nordeste,1,3
2112506,MA,Nordeste,1,3
2112605,MA,Nordeste,1,2
2112704,MA,Nordeste,1,2
2112803,MA,Nordeste,1,3
2112852,MA,Nordeste,1,2
2112902,MA,Nordeste,1,3
2113009,MA,Nordeste,1,3
2114007,MA,Nordeste,1,3
2200053,PI,Nordeste,1,3
2200103,PI,Nordeste,1,3
2200202,PI,Nordeste,0,3
2200251,PI,Nordeste,1,3
2200277,PI,Nordeste,1,3
2200301,PI,Nordeste,1,3
2200400,PI,Nordeste,1,3
2200459,PI,Nordeste,1,3
2200509,PI,Nordeste,1,3
2200608,PI,Nordeste,1,3
2200707,PI,Nordeste,1,3
2200806,PI,Nordeste,1,0
2200905,PI,Nordeste,1,3
2200954,PI,Nordeste,1,3
2201002,PI,Nordeste,1,3
2201051,PI,Nordeste,1,3
2201101,PI,Nordeste,1,3
2201150,PI,Nordeste,1,3
2201176,PI,Nordeste,1,3
2201200,PI,Nordeste,1,3
2201309,PI,Nordeste,1,3
2201408,PI,Nordeste,1,3
2201507,PI,Nordeste,1,3
2201556,PI,Nordeste,1,3
2201572,PI,Nordeste,1,3
2201606,PI,Nordeste,1,3
2201705,PI,Nordeste,1,3
2201739,PI,Nordeste,1,3
2201770,PI,Nordeste,1,3
2201804,PI,Nordeste,1,3
2201903,PI,Nordeste,0,0
2201919,PI,Nordeste,1,3
2201929,PI,Nordeste,1,3
2201945,PI,Nordeste,1,3
2201960,PI,Nordeste,1,3
2201988,PI,Nordeste,1,3
2202000,PI,Nordeste,1,3
2202026,PI,Nordeste,1,3
2202059,PI,Nordeste,1,3
2202075,PI,Nordeste,1,3
2202083,PI,Nordeste,1,2
2202091,PI,Nordeste,1,3
2202109,PI,Nordeste,1,3
2202117,PI,Nordeste,1,3
2202133,PI,Nordeste,1,3
2202174,PI,Nordeste,1,3
2202208,PI,Nordeste,0,3
2202251,PI,Nordeste,1,3
2202307,PI,Nordeste,1,3
2202406,PI,Nordeste,1,3
2202455,PI,Nordeste,1,3
2202505,PI,Nordeste,1,3
2202539,PI,Nordeste,1,3
2202554,PI,Nordeste,1,3
2202604,PI,Nordeste,1,3
2202653,PI,Nordeste,1,3
2202703,PI,Nordeste,1,3
2202711,PI,Nordeste,1,3
2202729,PI,Nordeste,1,3
2202737,PI,Nordeste,1,3
2202752,PI,Nordeste,1,3
2202778,PI,Nordeste,1,3
2202802,PI,Nordeste,1,3
2202851,PI,Nordeste,1,3
2202901,PI,Nordeste,1,3
2203008,PI,Nordeste,1,2
2203107,PI,Nordeste,1,3
2203206,PI,Nordeste,1,3
2203230,PI,Nordeste,1,3
2203255,PI,Nordeste,1,2
2203271,PI,Nordeste,1,3
2203305,PI,Nordeste,1,3
2203354,PI,Nordeste,1,3
2203404,PI,Nordeste,1,3
2203420,PI,Nordeste,1,3
2203453,PI,Nordeste,1,3
2203503,PI,Nordeste,1,3
2203602,PI,Nordeste,1,3
2203701,PI,Nordeste,1,3
2203750,PI,Nordeste,1,3
2203800,PI,Nordeste,1,3
2203859,PI,Nordeste,1,3
2203909,PI,Nordeste,0,1
2204006,PI,Nordeste,1,3
2204105,PI,Nordeste,1,3
2204154,PI,Nordeste,1,3
2204204,PI,Nordeste,1,3
2204303,PI,Nordeste,1,3
2204352,PI,Nordeste,1,3
2204402,PI,Nordeste,1,2
2204501,PI,Nordeste,0,0
2204550,PI,Nordeste,1,3
2204600,PI,Nordeste,1,3
2204659,PI,Nordeste,1,3
2204709,PI,Nordeste,1,3
2204808,PI,Nordeste,1,3
2204907,PI,Nordeste,1,3
2205003,PI,Nordeste,1,3
2205102,PI,Nordeste,1,3
2205151,PI,Nordeste,1,3
2205201,PI,Nordeste,1,3
2205250,PI,Nordeste,1,3
2205276,PI,Nordeste,1,3
2205300,PI,Nordeste,1,3
2205359,PI,Nordeste,1,3
2205409,PI,Nordeste,1,3
2205458,PI,Nordeste,1,3
2205508,PI,Nordeste,1,3
2205516,PI,Nordeste,1,3
2205524,PI,Nordeste,1,3
2205532,PI,Nordeste,1,3
2205540,PI,Nordeste,1,3
2205557,PI,Nordeste,1,3
2205565,PI,Nordeste,1,3
2205573,PI,Nordeste,1,3
2205581,PI,Nordeste,1,3
2205599,PI,Nordeste,1,3
2205607,PI,Nordeste,1,3
2205706,PI,Nordeste,1,3
2205805,PI,Nordeste,1,3
2205854,PI,Nordeste,1,3
2205904,PI,Nordeste,1,3
2205953,PI,Nordeste,1,3
2206001,PI,Nordeste,1,3
2206050,PI,Nordeste,1,3
2206100,PI,Nordeste,1,3
2206209,PI,Nordeste,1,3
2206308,PI,Nordeste,1,3
2206357,PI,Nordeste,1,3
2206407,PI,Nordeste,1,3
2206506,PI,Nordeste,1,3
2206605,PI,Nordeste,1,3
2206654,PI,Nordeste,1,3
2206670,PI,Nordeste,1,3
2206696,PI,Nordeste,1,3
2206704,PI,Nordeste,1,3
2206720,PI,Nordeste,1,3
2206753,PI,Nordeste,1,3
2206803,PI,Nordeste,1,3
2206902,PI,Nordeste,1,3
2206951,PI,Nordeste,1,3
2207009,PI,Nordeste,1,3
2207108,PI,Nordeste,1,3
2207207,PI,Nordeste,1,3
2207306,PI,Nordeste,1,3
2207355,PI,Nordeste,1,3
2207405,PI,Nordeste,1,3
2207504,PI,Nordeste,1,3
2207553,PI,Nordeste,1,3
2207603,PI,Nordeste,1,2
2207702,PI,Nordeste,0,1
2207751,PI,Nordeste,1,3
2207777,PI,Nordeste,1,3
2207793,PI,Nordeste,1,3
2207801,PI,Nordeste,1,3
2207850,PI,Nordeste,1,3
2207900,PI,Nordeste,1,3
2207934,PI,Nordeste,1,3
2207959,PI,Nordeste,1,3
2208007,PI,Nordeste,0,1
2208106,PI,Nordeste,1,3
2208205,PI,Nordeste,1,3
2208304,PI,Nordeste,1,3
2208403,PI,Nordeste,1,3
2208502,PI,Nordeste,1,3
2208551,PI,Nordeste,1,3
2208601,PI,Nordeste,1,3
2208650,PI,Nordeste,1,3
2208700,PI,Nordeste,1,3
2208809,PI,Nordeste,1,3
2208858,PI,Nordeste,1,3
2208874,PI,Nordeste,1,3
2208908,PI,Nordeste,1,2
2209005,PI,Nordeste,1,3
2209104,PI,Nordeste,1,3
2209153,PI,Nordeste,1,3
2209203,PI,Nordeste,1,3
2209302,PI,Nordeste,1,3
2209351,PI,Nordeste,1,3
2209377,PI,Nordeste,1,3
2209401,PI,Nordeste,1,3
2209450,PI,Nordeste,1,3
2209500,PI,Nordeste,1,3
2209559,PI,Nordeste,1,3
2209609,PI,Nordeste,1,3
2209658,PI,Nordeste,1,3
2209708,PI,Nordeste,1,3
2209757,PI,Nordeste,1,3
2209807,PI,Nordeste,1,3
2209856,PI,Nordeste,1,3
2209872,PI,Nordeste,1,2
2209906,PI,Nordeste,1,3
2209955,PI,Nordeste,1,3
2209971,PI,Nordeste,1,3
2210003,PI,Nordeste,1,3
2210052,PI,Nordeste,1,2
2210102,PI,Nordeste,1,3
2210201,PI,Nordeste,1,3
2210300,PI,Nordeste,1,3
2210359,PI,Nordeste,1,3
2210375,PI,Nordeste,1,3
2210383,PI,Nordeste,1,3
2210391,PI,Nordeste,1,3
2210409,PI,Nordeste,1,3
2210508,PI,Nordeste,1,3
